text,keywords
"It's in us that I have it, and you can find it at Target, Walmart, Amazon, etc.","['walmart amazon', 'target walmart', 'walmart', 'amazon', 'target']"
We need a waterproof mascara test!,"['waterproof mascara', 'mascara test', 'mascara', 'need waterproof', 'waterproof', 'test', 'need']"
Please correct that the amount of micellar waters has been sold out everywhere.,"['micellar waters', 'correct micellar', 'micellar', 'waters sold', 'waters', 'correct', 'sold']"
We love ceramides and must include this in our skin-care routine. We must use skin care that is gentle on our skin.,"['ceramides', 'love ceramides', 'ceramides include', 'skin care', 'gentle skin', 'use skin', 'include skin', 'skin', 'care gentle', 'gentle']"
"I bought it to take with me on vacation because I hoped I wouldn't need anything else, so I'm happy with this.","['vacation hoped', 'vacation', 'bought vacation', 'need happy', 'happy', 'wouldn need', 'hoped wouldn', 'hoped', 'need', 'bought']"
"Hi, what do you think of CeraVe moisturizer? I'm looking for a really good one and was wondering if it's worth it.","['cerave moisturizer', 'moisturizer looking', 'moisturizer', 'cerave', 'think cerave', 'worth', 'wondering worth', 'really good', 'looking really']"
"Wow, it looks good early.","['good early', 'early', 'looks good', 'wow looks', 'looks', 'wow', 'good']"
"It's time for us now! Run to Ulta, guys!","['ulta guys', 'run ulta', 'ulta', 'run', 'time run', 'guys', 'time']"
You're supposed to rub it between your hands to make it foam up.,"['make foam', 'foam', 'supposed rub', 'rub hands', 'rub', 'hands make', 'hands', 'make', 'supposed']"
I could see this as my morning cleanser; it looks really mild.,"['morning cleanser', 'cleanser looks', 'cleanser', 'really mild', 'mild', 'morning', 'looks really', 'looks']"
"We need this in the U.S., please!",['need']
"Wait, America doesn't have CeraVe.","['doesn cerave', 'cerave', 'america doesn', 'wait america', 'america', 'doesn', 'wait']"
You should try this.,['try']
"You need to first take some water and apply it to your face, then do the cleanse I got today!","['face cleanse', 'cleanse', 'apply face', 'cleanse got', 'water apply', 'face', 'need water', 'apply', 'water', 'got today']"
"It foams if you use it on clean skin, meaning that there is no makeup involved.","['meaning makeup', 'makeup', 'makeup involved', 'foams use', 'clean skin', 'foams', 'skin', 'skin meaning', 'use clean', 'clean']"
The cat needs proper skin care for its future.,"['cat needs', 'cat', 'skin care', 'proper skin', 'skin', 'care future', 'needs proper', 'care', 'proper', 'needs']"
CeraVe is toxic. Why does everyone keep suggesting it? We need to demand better from these companies.,"['cerave toxic', 'cerave', 'toxic does', 'toxic', 'better companies', 'companies', 'demand better', 'suggesting need', 'need demand', 'suggesting']"
You're supposed to emulsify it in your hands before applying it to your face.,"['applying face', 'supposed emulsify', 'emulsify hands', 'emulsify', 'hands applying', 'applying', 'face', 'hands', 'supposed']"
It foams on me.,['foams']
"Hey everyone, we sell cool, trendy jewelry for an affordable price, and I would really appreciate it if you were to support my small business.","['jewelry affordable', 'trendy jewelry', 'jewelry', 'small business', 'sell cool', 'hey sell', 'business', 'sell', 'appreciate', 'appreciate support']"
"The product is a water-based cleanser; its name may be confusing, but it requires using water to create lather.","['create lather', 'lather', 'based cleanser', 'cleanser confusing', 'cleanser', 'water based', 'product water', 'using water', 'water create', 'water']"
"Wow, you don't even need makeup! It looks like you're wearing it, even when it's all washed off!","['need makeup', 'makeup looks', 'makeup', 'wearing washed', 'washed', 'wearing', 'like wearing', 'wow don', 'looks', 'don need']"
"Your face and hands are supposed to be wet, and then you kind of rub it into your hands and it gets foamy.","['gets foamy', 'foamy', 'supposed wet', 'rub hands', 'wet', 'face hands', 'wet kind', 'rub', 'kind rub', 'hands supposed']"
"Certainly, they test on animals.","['test animals', 'certainly test', 'test', 'animals', 'certainly']"
CeraVe is not cruelty-free.,"['cerave cruelty', 'cruelty free', 'cruelty', 'cerave']"
"It's not cruelty-free! Oh, you did the eye test? What about all the animals that were tested!!!!!","['cruelty free', 'cruelty', 'animals tested', 'test animals', 'animals', 'eye test', 'did eye', 'tested', 'test', 'eye']"
"This is $17 on CareToBeauty, and they ship to the US.","['17 caretobeauty', 'caretobeauty ship', 'caretobeauty', 'ship', '17']"
They test on animals.,"['test animals', 'animals', 'test']"
